Store,Medicine,Category,Quantity,ExpiryDate,LastUpdated,Region,State,StoreSize,StoreTier
ST001,Erythromycin_25mg_Tablet,Infectious Disease,67,2027-07-10,2025-08-20,Northeast,MA,Medium,Rural
ST001,Metronidazole_5mg_Cream,Dermatological,148,2026-01-28,2025-08-25,Northeast,MA,Medium,Rural
ST001,Razadyne_25mg_Injection,Geriatric,43,2026-06-15,2025-08-19,Northeast,MA,Medium,Rural
ST001,Cyclosporine_500mg_Tablet,Immunology,6,2029-08-28,2025-08-25,Northeast,MA,Medium,Rural
ST001,Famotidine_25mg_Injection,Gastrointestinal,82,2026-08-08,2025-08-19,Northeast,MA,Medium,Rural
ST001,Codeine_200mg_Capsule,Pain Management,250,2027-12-05,2025-08-30,Northeast,MA,Medium,Rural
ST001,Galantamine_5mg_Capsule,Geriatric,128,2028-09-06,2025-08-18,Northeast,MA,Medium,Rural
ST001,Theophylline_5mg_Tablet,Respiratory,5,2026-02-26,2025-08-27,Northeast,MA,Medium,Rural
ST001,Adalimumab_100mg_Liquid,Immunology,11,2025-12-15,2025-09-05,Northeast,MA,Medium,Rural
ST001,Loratadine_500mg_Tablet,Pediatric,7,2026-05-18,2025-08-30,Northeast,MA,Medium,Rural
ST001,Olanzapine_25mg_Capsule,Psychiatric,99,2028-02-01,2025-09-11,Northeast,MA,Medium,Rural
ST001,Levothyroxine_200mg_Tablet,Endocrine,145,2026-06-02,2025-08-19,Northeast,MA,Medium,Rural
ST001,Glyburide_200mg_Injection,Endocrine,87,2027-04-09,2025-08-22,Northeast,MA,Medium,Rural
ST001,Naloxone_25mg_Tablet,Emergency Medicine,2,2025-12-20,2025-08-27,Northeast,MA,Medium,Rural
ST001,Sitagliptin_25mg_Tablet,Endocrine,290,2026-06-27,2025-09-10,Northeast,MA,Medium,Rural
ST001,Glyburide_50mg_Injection,Endocrine,62,2027-09-10,2025-08-16,Northeast,MA,Medium,Rural
ST001,Benzoyl_Peroxide_50mg_Cream,Dermatological,9,2029-02-01,2025-08-31,Northeast,MA,Medium,Rural
ST001,Repaglinide_10mg_Cream,Endocrine,50,2028-03-14,2025-08-28,Northeast,MA,Medium,Rural
ST001,Aspirin_100mg_Cream,Hematology,0,2028-10-24,2025-08-28,Northeast,MA,Medium,Rural
ST001,Aspirin_10mg_Liquid,Hematology,15,2026-09-03,2025-08-21,Northeast,MA,Medium,Rural
ST001,Codeine_25mg_Capsule,Pain Management,4,2029-07-19,2025-08-21,Northeast,MA,Medium,Rural
ST001,Vardenafil_100mg_Injection,Urology,95,2026-11-23,2025-08-20,Northeast,MA,Medium,Rural
ST001,Montelukast_5mg_Liquid,Respiratory,128,2025-10-08,2025-08-14,Northeast,MA,Medium,Rural
ST001,Pilocarpine_10mg_Injection,Ophthalmologic,0,2026-07-06,2025-09-12,Northeast,MA,Medium,Rural
ST001,Metformin_50mg_Liquid,Endocrine,130,2025-10-04,2025-09-07,Northeast,MA,Medium,Rural
ST001,Exemestane_50mg_Tablet,Oncology,23,2029-07-16,2025-09-02,Northeast,MA,Medium,Rural
ST001,Apraclonidine_50mg_Liquid,Ophthalmologic,121,2026-04-28,2025-08-22,Northeast,MA,Medium,Rural
ST001,Cetirizine_500mg_Cream,Pediatric,137,2027-05-12,2025-09-11,Northeast,MA,Medium,Rural
ST001,Moxifloxacin_10mg_Liquid,Infectious Disease,120,2026-07-19,2025-09-03,Northeast,MA,Medium,Rural
ST001,Cyclosporine_5mg_Cream,Immunology,47,2028-04-02,2025-08-30,Northeast,MA,Medium,Rural
